"bullet","x","sd"
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",425,0.916017526807074
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",450,0.947764036555253
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",475,2.29665962809515
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",50,2.54417578615496
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",500,1.12427227935656
"app/images/Hamby252_3DX3P1of2//Br1 Bullet 2-6.x3p",75,2.11890320224959
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",100,1.56364428031471
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",125,1.38354270725742
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",150,1.70275805387773
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",175,1.24222779051211
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",200,0.843998104622851
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",225,0.831067625775952
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",25,0.381102109214468
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",250,0.786839461383678
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",275,0.782471875800279
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",300,0.804351731358108
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",325,0.791962515959869
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",350,0.798770561482739
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",375,0.789462468389618
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",400,0.778124390996575
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",425,0.771962327062742
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",450,0.778020189416726
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",475,0.780567971745009
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",50,1.38638087204219
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",500,0.790698204711145
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-1.x3p",75,1.40231419834266
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",100,2.38949206079617
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",125,1.9041741806924
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",150,1.47087284277854
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",175,1.1240546795316
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",200,1.09192517449408
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",225,1.12335734822597
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",25,2.18619678114771
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",250,1.13329060627654
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",275,1.14505614460633
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",300,1.13011097979343
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",325,1.15817487073936
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",350,1.08670795570757
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",375,1.00251126912076
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",400,1.03405915917995
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",425,1.0158612961761
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",450,1.03478024326765
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",475,0.996732523224466
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",50,2.11594600778441
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",500,0.963002295171498
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-2.x3p",75,2.03424275036049
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",100,3.06823733075066
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",125,2.44933447841764
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",150,2.20087301861395
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",175,2.02885179503459
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",200,1.98814299630411
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",225,2.12847023680082
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",25,2.63871535602552
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",250,2.29428677473778
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",275,2.53858916839464
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",300,2.68139085658824
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",325,2.63803341438308
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",350,2.70884565968786
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",375,2.67724303834228
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",400,2.63626531365123
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",425,2.56141734990421
"app/images/Hamby252_3DX3P1of2//Br10 Bullet 1-3.x3p",450,2.33871055719846
